chr	start	end	mcf7.shank2.ctrl	mcf7.shank2.e2	t47d.shank2.ctrl	t47d.shank2.e2	mcf7.rara.ctrl	mcf7.rara.e2	t47d.rara.ctrl	t47d.rara.e2	inclusion	msr	tsr	mrr	trr	average
1	6000001	6250000	6	10	6	1	8	4	6	2	yes	0.652076696579693	-1.8073549220576	-0.84799690655495	-1.22239242133645	-0.806416888342327
1	6250001	6500000	12	11	4	8	6	6	2	11	yes	-0.115477217419936	0.84799690655495	0	2	0.683129922283754
1	6500001	6750000	4	13	9	8	10	11	5	9	yes	1.48542682717024	-0.15200309344505	0.125530882083859	0.736965594166206	0.548980052493814
1	6750001	7e+06	2	3	1	1	2	4	0	2	yes	0.415037499278844	0	0.736965594166206	1.58496250072116	0.684241398541552
1	7000001	7250000	5	6	4	5	2	5	7	4	yes	0.222392421336448	0.263034405833794	1	-0.678071905112638	0.201838730514401
1	7250001	7500000	4	1	2	1	1	3	3	4	yes	-1.32192809488736	-0.584962500721156	1	0.321928094887362	-0.146240625180289
1	7500001	7750000	6	11	1	13	3	2	3	6	yes	0.777607578663552	2.8073549220576	-0.415037499278844	0.807354922057604	0.994319980874979
1	7750001	8e+06	1	1	0	3	1	2	1	3	yes	0	2	0.584962500721156	1	0.896240625180289
1	8000001	8250000	5	5	6	4	5	3	2	4	yes	0	-0.485426827170242	-0.584962500721156	0.736965594166206	-0.0833559334312979
1	8250001	8500000	2	7	4	7	3	3	5	5	yes	1.41503749927884	0.678071905112638	0	0	0.52327735109787
1	8500001	8750000	2	4	2	2	2	1	0	2	yes	0.736965594166206	0	-0.584962500721156	1.58496250072116	0.434241398541552
1	8750001	9e+06	4	7	3	7	5	7	6	10	yes	0.678071905112638	1	0.415037499278844	0.652076696579693	0.686296525242794
1	9000001	9250000	4	4	5	3	5	4	2	2	yes	0	-0.584962500721156	-0.263034405833794	0	-0.211999226638738
1	9250001	9500000	5	12	3	4	5	6	1	9	yes	1.11547721741994	0.321928094887362	0.222392421336448	2.32192809488736	0.995431457132777
1	9500001	9750000	3	6	2	1	1	10	0	1	yes	0.807354922057604	-0.584962500721156	2.4594316186373	1	0.920456009993436
1	9750001	1e+07	5	10	4	3	4	7	3	2	yes	0.874469117916141	-0.321928094887362	0.678071905112638	-0.415037499278844	0.203893857215643
1	10000001	10250000	3	5	1	1	7	1	0	3	yes	0.584962500721156	0	-2	2	0.146240625180289
1	10250001	10500000	8	3	0	2	4	4	0	2	yes	-1.16992500144231	1.58496250072116	0	1.58496250072116	0.5
1	10500001	10750000	6	6	4	8	6	4	2	2	yes	0	0.84799690655495	-0.485426827170242	0	0.0906425198461771
1	10750001	1.1e+07	15	12	6	5	3	5	3	7	yes	-0.299560281858908	-0.222392421336448	0.584962500721156	1	0.26575244938145
1	11000001	11250000	4	12	2	7	7	9	5	1	yes	1.37851162325373	1.41503749927884	0.321928094887362	-1.58496250072116	0.382628679174695
1	11250001	11500000	7	4	2	3	4	8	1	4	yes	-0.678071905112638	0.415037499278844	0.84799690655495	1.32192809488736	0.47672264890213
1	11500001	11750000	5	11	8	4	5	4	1	5	yes	1	-0.84799690655495	-0.263034405833794	1.58496250072116	0.368482797083103
1	11750001	1.2e+07	10	7	2	4	8	5	2	4	yes	-0.459431618637297	0.736965594166206	-0.584962500721156	0.736965594166206	0.10738426724349
1	12000001	12250000	2	6	4	9	3	1	5	4	yes	1.22239242133645	1	-1	-0.263034405833794	0.239839503875664
1	12250001	12500000	1	5	1	1	0	2	2	2	yes	1.58496250072116	0	1.58496250072116	0	0.792481250360578
1	12500001	12750000	4	8	1	4	1	7	2	6	yes	0.84799690655495	1.32192809488736	2	1.22239242133645	1.34807935569469
1	12750001	1.3e+07	4	2	2	2	0	0	0	0	yes	-0.736965594166206	0	0	0	-0.184241398541552
1	13000001	13250000	0	0	0	1	0	0	0	0	yes	0	1	0	0	0.25
1	13250001	13500000	1	0	0	0	0	1	1	0	yes	-1	0	1	-1	-0.25
1	13500001	13750000	0	1	0	0	0	0	0	0	yes	1	0	0	0	0.25
1	13750001	1.4e+07	2	6	1	2	2	1	3	0	yes	1.22239242133645	0.584962500721156	-0.584962500721156	-2	-0.194401894665888
1	14000001	14250000	6	2	2	2	3	2	1	1	yes	-1.22239242133645	0	-0.415037499278844	0	-0.409357480153823
1	14250001	14500000	1	3	1	1	2	0	1	2	yes	1	0	-1.58496250072116	0.584962500721156	-5.55111512312578e-17
1	14500001	14750000	2	8	1	4	0	1	0	1	yes	1.58496250072116	1.32192809488736	1	1	1.22672264890213
1	14750001	1.5e+07	1	3	2	2	0	1	3	4	yes	1	0	1	0.321928094887362	0.58048202372184
1	15000001	15250000	1	3	5	1	1	4	1	3	yes	1	-1.58496250072116	1.32192809488736	1	0.434241398541552
1	15250001	15500000	5	6	9	5	5	0	2	3	yes	0.222392421336448	-0.736965594166206	-2.58496250072116	0.415037499278844	-0.671124543568018
1	15500001	15750000	7	6	4	0	0	2	2	1	yes	-0.192645077942396	-2.32192809488736	1.58496250072116	-0.584962500721156	-0.37864329320744
1	15750001	1.6e+07	5	4	3	0	0	2	2	7	yes	-0.263034405833794	-2	1.58496250072116	1.41503749927884	0.184241398541552
1	16000001	16250000	4	18	6	3	6	5	0	5	yes	1.92599941855622	-0.807354922057604	-0.222392421336448	2.58496250072116	0.870303643970832
1	16250001	16500000	11	15	5	2	7	15	1	10	yes	0.415037499278844	-1	1	2.4594316186373	0.718617279479035
1	16500001	16750000	8	16	3	7	3	7	6	5	yes	0.917537839808027	1	1	-0.222392421336448	0.673786354617895
1	16750001	1.7e+07	6	17	3	7	6	10	2	8	yes	1.36257007938471	1	0.652076696579693	1.58496250072116	1.14990231917139
1	17000001	17250000	8	9	2	5	1	7	3	6	yes	0.15200309344505	1	2	0.807354922057604	0.989839503875664
1	17250001	17500000	5	11	2	2	4	2	2	3	yes	1	0	-0.736965594166206	0.415037499278844	0.169517976278159
1	17500001	17750000	3	10	3	5	2	8	1	2	yes	1.4594316186373	0.584962500721156	1.58496250072116	0.584962500721156	1.05357978020019
1	17750001	1.8e+07	9	8	3	5	3	7	1	3	yes	-0.15200309344505	0.584962500721156	1	1	0.608239851819027
1	18000001	18250000	5	8	6	4	3	2	1	2	yes	0.584962500721156	-0.485426827170242	-0.415037499278844	0.584962500721156	0.0673651687483067
1	18250001	18500000	2	7	1	12	1	3	3	2	yes	1.41503749927884	2.70043971814109	1	-0.415037499278844	1.17510992953527
1	18500001	18750000	1	3	4	4	5	2	2	7	yes	1	0	-1	1.41503749927884	0.353759374819711
1	18750001	1.9e+07	2	6	2	1	0	2	1	3	yes	1.22239242133645	-0.584962500721156	1.58496250072116	1	0.805598105334112
1	19000001	19250000	3	2	3	6	6	1	0	6	yes	-0.415037499278844	0.807354922057604	-1.8073549220576	2.8073549220576	0.34807935569469
1	19250001	19500000	5	8	5	2	3	4	7	1	yes	0.584962500721156	-1	0.321928094887362	-2	-0.52327735109787
1	19500001	19750000	5	7	3	4	4	7	1	5	yes	0.415037499278844	0.321928094887362	0.678071905112638	1.58496250072116	0.75
1	19750001	2e+07	6	5	5	4	1	4	1	5	yes	-0.222392421336448	-0.263034405833794	1.32192809488736	1.58496250072116	0.605365942109569
1	20000001	20250000	4	4	9	6	3	3	5	2	yes	0	-0.514573172829758	0	-1	-0.37864329320744
1	20250001	20500000	0	1	1	4	1	0	1	3	yes	1	1.32192809488736	-1	1	0.580482023721841
1	20500001	20750000	4	3	2	3	0	6	2	2	yes	-0.321928094887362	0.415037499278844	2.8073549220576	0	0.725116081612271
1	20750001	2.1e+07	5	5	2	3	2	0	2	2	yes	0	0.415037499278844	-1.58496250072116	0	-0.292481250360578
1	21000001	21250000	2	7	0	5	0	4	2	2	yes	1.41503749927884	2.58496250072116	2.32192809488736	0	1.58048202372184
1	21250001	21500000	1	3	1	0	0	1	0	1	yes	1	-1	1	1	0.5
1	21500001	21750000	4	13	5	1	4	7	2	3	yes	1.48542682717024	-1.58496250072116	0.678071905112638	0.415037499278844	0.248393432710142
1	21750001	2.2e+07	7	5	3	6	2	2	1	2	yes	-0.415037499278844	0.807354922057604	0	0.584962500721156	0.244319980874979
1	22000001	22250000	9	10	3	3	2	1	1	2	yes	0.137503523749935	0	-0.584962500721156	0.584962500721156	0.0343758809374837
1	22250001	22500000	3	7	4	6	3	1	2	4	yes	1	0.485426827170242	-1	0.736965594166206	0.305598105334112
1	22500001	22750000	3	6	4	4	4	4	4	2	yes	0.807354922057604	0	0	-0.736965594166206	0.0175973319728495
1	22750001	2.3e+07	7	5	4	3	2	0	1	5	yes	-0.415037499278844	-0.321928094887362	-1.58496250072116	1.58496250072116	-0.184241398541552
1	23000001	23250000	6	8	4	7	1	3	3	8	yes	0.362570079384708	0.678071905112638	1	1.16992500144231	0.802641746484915
1	23250001	23500000	2	1	2	5	3	4	4	5	yes	-0.584962500721156	1	0.321928094887362	0.263034405833794	0.25
1	23500001	23750000	2	11	0	2	4	4	2	2	yes	2	1.58496250072116	0	0	0.896240625180289
1	23750001	2.4e+07	7	18	4	4	4	12	2	4	yes	1.24792751344359	0	1.37851162325373	0.736965594166206	0.84085118271588
1	24000001	24250000	6	6	8	6	4	5	2	8	yes	0	-0.362570079384708	0.263034405833794	1.58496250072116	0.37135670679256
1	24250001	24500000	6	8	2	2	6	8	3	4	yes	0.362570079384708	0	0.362570079384708	0.321928094887362	0.261767063414195
1	24500001	24750000	3	4	2	5	4	2	4	5	yes	0.321928094887362	1	-0.736965594166206	0.263034405833794	0.211999226638737
1	24750001	2.5e+07	3	8	0	0	1	3	4	2	yes	1.16992500144231	0	1	-0.736965594166206	0.358239851819027
1	25000001	25250000	7	2	1	5	1	1	0	2	yes	-1.41503749927884	1.58496250072116	0	1.58496250072116	0.438721875540867
1	25250001	25500000	5	5	5	2	1	4	1	1	yes	0	-1	1.32192809488736	0	0.0804820237218406
1	25500001	25750000	2	0	3	1	0	1	2	1	yes	-1.58496250072116	-1	1	-0.584962500721156	-0.542481250360578
1	25750001	2.6e+07	4	3	2	7	3	4	2	5	yes	-0.321928094887362	1.41503749927884	0.321928094887362	1	0.603759374819711
1	26000001	26250000	8	9	8	6	5	7	4	6	yes	0.15200309344505	-0.362570079384708	0.415037499278844	0.485426827170242	0.172474335127357
1	26250001	26500000	9	2	4	6	4	7	0	5	yes	-1.73696559416621	0.485426827170242	0.678071905112638	2.58496250072116	0.502873909709457
1	26500001	26750000	13	11	6	6	3	7	4	3	yes	-0.222392421336448	0	1	-0.321928094887362	0.113919870944047
1	26750001	2.7e+07	5	10	1	5	4	5	2	1	yes	0.874469117916141	1.58496250072116	0.263034405833794	-0.584962500721156	0.534375880937484
1	27000001	27250000	6	16	4	6	8	11	5	12	yes	1.28010791919274	0.485426827170242	0.415037499278844	1.11547721741994	0.824012365765439
1	27250001	27500000	6	9	3	4	7	3	4	5	yes	0.514573172829758	0.321928094887362	-1	0.263034405833794	0.0248839183877286
1	27500001	27750000	5	10	4	3	6	5	4	8	yes	0.874469117916141	-0.321928094887362	-0.222392421336448	0.84799690655495	0.29453637706182
1	27750001	2.8e+07	3	16	3	1	4	3	2	6	yes	2.08746284125034	-1	-0.321928094887362	1.22239242133645	0.496981791924856
1	28000001	28250000	2	4	1	2	3	1	0	0	yes	0.736965594166206	0.584962500721156	-1	0	0.0804820237218406
1	28250001	28500000	4	4	2	1	0	0	1	3	yes	0	-0.584962500721156	0	1	0.103759374819711
1	28500001	28750000	5	8	2	3	2	3	1	3	yes	0.584962500721156	0.415037499278844	0.415037499278844	1	0.603759374819711
1	28750001	2.9e+07	12	15	0	2	4	2	1	5	yes	0.299560281858908	1.58496250072116	-0.736965594166206	1.58496250072116	0.683129922283753
1	29000001	29250000	7	5	1	0	0	0	2	3	yes	-0.415037499278844	-1	0	0.415037499278844	-0.25
1	29250001	29500000	3	5	0	1	2	2	1	1	yes	0.584962500721156	1	0	0	0.396240625180289
1	29500001	29750000	1	2	2	5	5	2	2	1	yes	0.584962500721156	1	-1	-0.584962500721156	-5.55111512312578e-17
1	29750001	3e+07	1	4	1	1	0	1	1	1	yes	1.32192809488736	0	1	0	0.580482023721841
1	30000001	30250000	2	3	2	6	0	1	0	1	yes	0.415037499278844	1.22239242133645	1	1	0.909357480153823
1	30250001	30500000	4	9	4	1	4	4	2	0	yes	1	-1.32192809488736	0	-1.58496250072116	-0.47672264890213
1	30500001	30750000	8	3	4	7	2	2	2	4	yes	-1.16992500144231	0.678071905112638	0	0.736965594166206	0.0612781244591329
1	30750001	3.1e+07	2	3	3	3	1	4	2	3	yes	0.415037499278844	0	1.32192809488736	0.415037499278844	0.538000773361263
1	31000001	31250000	1	6	2	2	3	2	1	3	yes	1.8073549220576	0	-0.415037499278844	1	0.59807935569469
1	31250001	31500000	9	15	1	4	3	7	4	3	yes	0.678071905112638	1.32192809488736	1	-0.321928094887362	0.66951797627816
1	31500001	31750000	9	6	0	3	2	6	2	1	yes	-0.514573172829758	2	1.22239242133645	-0.584962500721156	0.530714186946383
1	31750001	3.2e+07	3	4	4	5	4	6	5	3	yes	0.321928094887362	0.263034405833794	0.485426827170242	-0.584962500721156	0.12135670679256
1	32000001	32250000	14	12	4	5	6	9	0	2	yes	-0.206450877467426	0.263034405833794	0.514573172829758	1.58496250072116	0.53902980047932
1	32250001	32500000	6	9	3	5	5	4	4	3	yes	0.514573172829758	0.584962500721156	-0.263034405833794	-0.321928094887362	0.12864329320744
1	32500001	32750000	9	22	9	7	4	3	2	6	yes	1.20163386116965	-0.321928094887362	-0.321928094887362	1.22239242133645	0.445042523182843
1	32750001	3.3e+07	4	7	0	3	1	4	2	4	yes	0.678071905112638	2	1.32192809488736	0.736965594166206	1.18424139854155
1	33000001	33250000	8	10	1	5	2	2	2	8	yes	0.289506617194985	1.58496250072116	0	1.58496250072116	0.864857904659324
1	33250001	33500000	4	6	5	3	3	0	2	3	yes	0.485426827170242	-0.584962500721156	-2	0.415037499278844	-0.421124543568018
1	33500001	33750000	4	3	3	0	6	1	1	3	yes	-0.321928094887362	-2	-1.8073549220576	1	-0.782320754236242
1	33750001	3.4e+07	3	5	3	4	4	0	0	2	yes	0.584962500721156	0.321928094887362	-2.32192809488736	1.58496250072116	0.0424812503605781
1	34000001	34250000	0	4	2	2	0	1	3	2	yes	2.32192809488736	0	1	-0.415037499278844	0.72672264890213
1	34250001	34500000	3	6	0	0	1	2	2	3	yes	0.807354922057604	0	0.584962500721156	0.415037499278844	0.451838730514401
1	34500001	34750000	1	1	1	3	1	0	0	3	yes	0	1	-1	2	0.5
1	34750001	3.5e+07	1	1	2	3	1	1	2	1	yes	0	0.415037499278844	0	-0.584962500721156	-0.0424812503605781
1	35000001	35250000	1	6	1	2	0	0	0	3	yes	1.8073549220576	0.584962500721156	0	2	1.09807935569469
1	35250001	35500000	2	3	4	1	0	4	1	1	yes	0.415037499278844	-1.32192809488736	2.32192809488736	0	0.353759374819711
1	35500001	35750000	2	0	0	2	0	1	0	2	yes	-1.58496250072116	1.58496250072116	1	1.58496250072116	0.646240625180289
1	35750001	3.6e+07	1	3	1	2	0	1	0	1	yes	1	0.584962500721156	1	1	0.896240625180289
1	36000001	36250000	6	3	2	3	4	4	2	3	yes	-0.807354922057604	0.415037499278844	0	0.415037499278844	0.00568001912502084
1	36250001	36500000	6	1	1	5	2	0	0	3	yes	-1.8073549220576	1.58496250072116	-1.58496250072116	2	0.048161269485599
1	36500001	36750000	4	9	1	5	1	5	0	1	yes	1	1.58496250072116	1.58496250072116	1	1.29248125036058
1	36750001	3.7e+07	9	7	2	2	3	11	2	6	yes	-0.321928094887362	0	1.58496250072116	1.22239242133645	0.62135670679256
1	37000001	37250000	4	3	0	2	5	4	6	5	yes	-0.321928094887362	1.58496250072116	-0.263034405833794	-0.222392421336448	0.194401894665888
1	37250001	37500000	6	7	2	7	2	1	2	4	yes	0.192645077942396	1.41503749927884	-0.584962500721156	0.736965594166206	0.439921417666572
1	37500001	37750000	7	3	4	5	1	1	0	2	yes	-1	0.263034405833794	0	1.58496250072116	0.211999226638738
1	37750001	3.8e+07	5	8	2	2	0	0	0	3	yes	0.584962500721156	0	0	2	0.646240625180289
1	38000001	38250000	2	5	0	1	2	2	3	2	yes	1	1	0	-0.415037499278844	0.396240625180289
1	38250001	38500000	4	11	5	4	2	2	3	9	yes	1.26303440583379	-0.263034405833794	0	1.32192809488736	0.58048202372184
1	38500001	38750000	6	3	1	2	0	5	2	5	yes	-0.807354922057604	0.584962500721156	2.58496250072116	1	0.840642519846177
1	38750001	3.9e+07	0	4	1	3	0	0	1	2	yes	2.32192809488736	1	0	0.584962500721156	0.97672264890213
1	39000001	39250000	0	2	1	2	0	0	1	1	yes	1.58496250072116	0.584962500721156	0	0	0.542481250360578
1	39250001	39500000	2	3	0	1	1	0	1	2	yes	0.415037499278844	1	-1	0.584962500721156	0.25
1	39500001	39750000	1	4	1	4	1	2	1	0	yes	1.32192809488736	1.32192809488736	0.584962500721156	-1	0.55720467262397
1	39750001	4e+07	5	6	3	1	2	5	3	6	yes	0.222392421336448	-1	1	0.807354922057604	0.257436835848513
1	40000001	40250000	1	6	1	3	0	2	2	4	yes	1.8073549220576	1	1.58496250072116	0.736965594166206	1.28232075423624
1	40250001	40500000	1	5	3	2	1	3	3	3	yes	1.58496250072116	-0.415037499278844	1	0	0.542481250360578
1	40500001	40750000	4	5	1	2	0	1	0	3	yes	0.263034405833794	0.584962500721156	1	2	0.961999226638737
1	40750001	4.1e+07	3	1	3	1	2	2	3	3	yes	-1	-1	0	0	-0.5
1	41000001	41250000	3	1	1	2	3	2	2	3	yes	-1	0.584962500721156	-0.415037499278844	0.415037499278844	-0.103759374819711
1	41250001	41500000	4	8	5	6	2	2	0	2	yes	0.84799690655495	0.222392421336448	0	1.58496250072116	0.663837957153139
1	41500001	41750000	3	1	1	0	0	3	0	0	yes	-1	-1	2	0	0
1	41750001	4.2e+07	8	14	6	6	3	3	2	3	yes	0.736965594166206	0	0	0.415037499278844	0.288000773361263
1	42000001	42250000	3	12	1	7	3	3	1	4	yes	1.70043971814109	2	0	1.32192809488736	1.25559195325711
1	42250001	42500000	2	7	0	2	6	3	4	1	yes	1.41503749927884	1.58496250072116	-0.807354922057604	-1.32192809488736	0.217679245763758
1	42500001	42750000	0	1	1	1	1	0	0	1	yes	1	0	-1	1	0.25
1	42750001	4.3e+07	2	0	0	2	1	3	0	1	yes	-1.58496250072116	1.58496250072116	1	1	0.5
1	43000001	43250000	4	2	1	1	0	1	4	0	yes	-0.736965594166206	0	1	-2.32192809488736	-0.514723422263392
1	43250001	43500000	1	6	3	2	4	1	3	3	yes	1.8073549220576	-0.415037499278844	-1.32192809488736	0	0.0175973319728495
1	43500001	43750000	3	5	2	1	1	1	3	2	yes	0.584962500721156	-0.584962500721156	0	-0.415037499278844	-0.103759374819711
1	43750001	4.4e+07	6	6	5	6	8	10	2	2	yes	0	0.222392421336448	0.289506617194985	0	0.127974759632858
1	44000001	44250000	9	17	1	8	0	9	2	5	yes	0.84799690655495	2.16992500144231	3.32192809488736	1	1.83496250072116
1	44250001	44500000	5	12	7	11	1	6	7	9	yes	1.11547721741994	0.584962500721156	1.8073549220576	0.321928094887362	0.957430683771515
1	44500001	44750000	4	2	1	6	1	4	4	4	yes	-0.736965594166206	1.8073549220576	1.32192809488736	0	0.59807935569469
1	44750001	4.5e+07	1	5	4	4	1	1	2	3	yes	1.58496250072116	0	0	0.415037499278844	0.5
1	45000001	45250000	5	10	3	6	6	7	4	5	yes	0.874469117916141	0.807354922057604	0.192645077942396	0.263034405833794	0.534375880937484
1	45250001	45500000	4	4	2	6	2	1	4	3	yes	0	1.22239242133645	-0.584962500721156	-0.321928094887362	0.0788754564319823
1	45500001	45750000	0	3	0	3	1	0	0	0	yes	2	2	-1	0	0.75
1	45750001	4.6e+07	6	7	0	2	1	2	0	4	yes	0.192645077942396	1.58496250072116	0.584962500721156	2.32192809488736	1.17112454356802
1	46000001	46250000	3	3	1	2	4	2	3	3	yes	0	0.584962500721156	-0.736965594166206	0	-0.0380007733612625
1	46250001	46500000	3	2	0	3	1	0	1	2	yes	-0.415037499278844	2	-1	0.584962500721156	0.292481250360578
1	46500001	46750000	6	8	4	3	4	5	2	3	yes	0.362570079384708	-0.321928094887362	0.263034405833794	0.415037499278844	0.179678472402496
1	46750001	4.7e+07	2	3	4	3	2	2	3	4	yes	0.415037499278844	-0.321928094887362	0	0.321928094887362	0.103759374819711
1	47000001	47250000	3	10	0	2	0	1	3	6	yes	1.4594316186373	1.58496250072116	1	0.807354922057604	1.21293726035401
1	47250001	47500000	2	2	1	2	0	0	1	2	yes	0	0.584962500721156	0	0.584962500721156	0.292481250360578
1	47500001	47750000	1	1	1	1	0	1	2	1	yes	0	0	1	-0.584962500721156	0.103759374819711
1	47750001	4.8e+07	4	4	1	2	1	3	2	1	yes	0	0.584962500721156	1	-0.584962500721156	0.25
1	48000001	48250000	3	3	2	3	4	1	2	2	yes	0	0.415037499278844	-1.32192809488736	0	-0.22672264890213
1	48250001	48500000	2	3	1	3	2	3	2	4	yes	0.415037499278844	1	0.415037499278844	0.736965594166206	0.641760148180973
1	48500001	48750000	1	1	0	2	1	1	0	0	yes	0	1.58496250072116	0	0	0.396240625180289
1	48750001	4.9e+07	0	0	0	0	0	1	0	0	yes	0	0	1	0	0.25
1	49000001	49250000	2	5	0	4	2	1	3	2	yes	1	2.32192809488736	-0.584962500721156	-0.415037499278844	0.58048202372184
1	49250001	49500000	1	1	0	1	1	1	1	0	yes	0	1	0	-1	0
1	49500001	49750000	0	1	1	0	0	1	1	1	yes	1	-1	1	0	0.25
1	49750001	5e+07	1	3	0	1	1	0	0	1	yes	1	1	-1	1	0.5
1	50000001	50250000	0	0	1	1	0	0	0	0	yes	0	0	0	0	0
1	50250001	50500000	1	1	0	0	0	0	0	0	yes	0	0	0	0	0
1	50500001	50750000	1	4	0	0	2	0	2	0	yes	1.32192809488736	0	-1.58496250072116	-1.58496250072116	-0.461999226638738
1	50750001	5.1e+07	2	5	2	2	2	1	1	2	yes	1	0	-0.584962500721156	0.584962500721156	0.25
1	51000001	51250000	1	1	1	0	1	1	0	3	yes	0	-1	0	2	0.25
1	51250001	51500000	0	0	0	0	1	0	0	1	yes	0	0	-1	1	0
1	51500001	51750000	1	3	0	0	1	0	1	0	yes	1	0	-1	-1	-0.25
1	51750001	5.2e+07	1	7	2	2	1	2	0	6	yes	2	0	0.584962500721156	2.8073549220576	1.34807935569469
1	52000001	52250000	3	5	0	0	1	2	0	1	yes	0.584962500721156	0	0.584962500721156	1	0.542481250360578
1	52250001	52500000	0	3	2	2	1	0	2	2	yes	2	0	-1	0	0.25
1	52500001	52750000	0	1	1	1	0	0	1	1	yes	1	0	0	0	0.25
1	52750001	5.3e+07	2	3	0	3	2	2	1	1	yes	0.415037499278844	2	0	0	0.603759374819711
1	53000001	53250000	3	5	1	0	0	0	0	2	yes	0.584962500721156	-1	0	1.58496250072116	0.292481250360578
1	53250001	53500000	4	3	1	2	1	0	0	0	yes	-0.321928094887362	0.584962500721156	-1	0	-0.184241398541552
1	53500001	53750000	4	10	4	4	1	1	3	2	yes	1.13750352374994	0	0	-0.415037499278844	0.180616506117773
1	53750001	5.4e+07	3	7	2	5	0	1	2	3	yes	1	1	1	0.415037499278844	0.853759374819711
1	54000001	54250000	3	7	2	2	2	2	0	2	yes	1	0	0	1.58496250072116	0.646240625180289
1	54250001	54500000	23	33	1	0	18	16	0	2	yes	0.502500340529183	-1	-0.160464672193246	1.58496250072116	0.231749542264273
1	54500001	54750000	6	7	2	3	1	2	1	5	yes	0.192645077942396	0.415037499278844	0.584962500721156	1.58496250072116	0.694401894665888
1	54750001	5.5e+07	0	2	7	2	0	4	2	3	yes	1.58496250072116	-1.41503749927884	2.32192809488736	0.415037499278844	0.72672264890213
1	55000001	55250000	2	2	0	3	1	1	2	6	yes	0	2	0	1.22239242133645	0.805598105334112
1	55250001	55500000	0	4	0	3	1	1	3	2	yes	2.32192809488736	2	0	-0.415037499278844	0.97672264890213
1	55500001	55750000	2	0	2	2	1	1	0	2	yes	-1.58496250072116	0	0	1.58496250072116	-1.11022302462516e-16
1	55750001	5.6e+07	0	2	1	1	2	1	0	2	yes	1.58496250072116	0	-0.584962500721156	1.58496250072116	0.646240625180289
1	56000001	56250000	0	2	2	0	0	1	2	1	yes	1.58496250072116	-1.58496250072116	1	-0.584962500721156	0.103759374819711
1	56250001	56500000	1	0	0	0	0	0	0	0	yes	-1	0	0	0	-0.25
